Created with UCDetector 2.0.0	2025-07-17 13:00:59	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
argo.jdom.JsonNodeSelectors.func_27350_a(JsonNodeSelectors.java:22)	Change visibility of Method "JsonNodeSelectors.func_27350_a(JsonStringNode)" to private	JsonNodeSelectors.func_27350_a(JsonStringNode)	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeSelectors.func_27351_b(JsonNodeSelectors.java:26)	Change visibility of Method "JsonNodeSelectors.func_27351_b(String)" to private	JsonNodeSelectors.func_27351_b(String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeSelectors.func_27347_a(JsonNodeSelectors.java:30)	Change visibility of Method "JsonNodeSelectors.func_27347_a(int)" to private	JsonNodeSelectors.func_27347_a(int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeSelectors.func_27354_b(JsonNodeSelectors.java:34)	Change visibility of Method "JsonNodeSelectors.func_27354_b(int)" to private	JsonNodeSelectors.func_27354_b(int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeSelectors_Element.matchesNode_(JsonNodeSelectors_Element.java:12)	Change visibility of Method "JsonNodeSelectors_Element.matchesNode_(List<JsonNode>)" to private	JsonNodeSelectors_Element.matchesNode_(List<JsonNode>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeSelectors_Element.typeSafeApplyTo_(JsonNodeSelectors_Element.java:20)	Change visibility of Method "JsonNodeSelectors_Element.typeSafeApplyTo_(List<JsonNode>)" to private	JsonNodeSelectors_Element.typeSafeApplyTo_(List<JsonNode>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeSelectors_Element.index(JsonNodeSelectors_Element.java:6)	Change visibility of Field "JsonNodeSelectors_Element.index" to private	JsonNodeSelectors_Element.index	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonStringNode.func_27223_a(JsonStringNode.java:52)	Change visibility of Method "JsonStringNode.func_27223_a(JsonStringNode)" to private	JsonStringNode.func_27223_a(JsonStringNode)	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonListenerToJdomAdapter_Object.nodeBuilder(JsonListenerToJdomAdapter_Object.java:4)	Change visibility of Field "JsonListenerToJdomAdapter_Object.nodeBuilder" to private	JsonListenerToJdomAdapter_Object.nodeBuilder	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonListenerToJdomAdapter_Object.listenerToJdomAdapter(JsonListenerToJdomAdapter_Object.java:5)	Change visibility of Field "JsonListenerToJdomAdapter_Object.listenerToJdomAdapter" to private	JsonListenerToJdomAdapter_Object.listenerToJdomAdapter	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonListenerToJdomAdapter_Object.listenerToJdomAdapter(JsonListenerToJdomAdapter_Object.java:5)	Field "JsonListenerToJdomAdapter_Object.listenerToJdomAdapter" is never read	JsonListenerToJdomAdapter_Object.listenerToJdomAdapter	org.ucdetector.analyzeMarkerReference	
argo.jdom.JsonNodeBuilders.<init>(JsonNodeBuilders.java:3)	Change visibility of Class "JsonNodeBuilders" to default - May cause compile errors!	JsonNodeBuilders	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeBuilders.func_27248_a(JsonNodeBuilders.java:4)	Change visibility of Method "JsonNodeBuilders.func_27248_a()" to default	JsonNodeBuilders.func_27248_a()	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeBuilders.func_27251_b(JsonNodeBuilders.java:8)	Change visibility of Method "JsonNodeBuilders.func_27251_b()" to default	JsonNodeBuilders.func_27251_b()	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeBuilders.func_27252_c(JsonNodeBuilders.java:12)	Change visibility of Method "JsonNodeBuilders.func_27252_c()" to default	JsonNodeBuilders.func_27252_c()	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeBuilders.func_27250_a(JsonNodeBuilders.java:16)	Change visibility of Method "JsonNodeBuilders.func_27250_a(String)" to default	JsonNodeBuilders.func_27250_a(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeBuilders.func_27254_b(JsonNodeBuilders.java:20)	Change visibility of Method "JsonNodeBuilders.func_27254_b(String)" to default	JsonNodeBuilders.func_27254_b(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeBuilders.anObjectBuilder(JsonNodeBuilders.java:24)	Change visibility of Method "JsonNodeBuilders.anObjectBuilder()" to default	JsonNodeBuilders.anObjectBuilder()	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeBuilders.anArrayBuilder(JsonNodeBuilders.java:28)	Change visibility of Method "JsonNodeBuilders.anArrayBuilder()" to default	JsonNodeBuilders.anArrayBuilder()	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeSelector.<init>(JsonNodeSelector.java:3)	Change visibility of Class "JsonNodeSelector" to default - May cause compile errors!	JsonNodeSelector	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeSelector.matches(JsonNodeSelector.java:10)	Change visibility of Method "JsonNodeSelector.matches(Object)" to default	JsonNodeSelector.matches(Object)	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeSelector.getValue(JsonNodeSelector.java:14)	Change visibility of Method "JsonNodeSelector.getValue(Object)" to default	JsonNodeSelector.getValue(Object)	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeSelector.with(JsonNodeSelector.java:18)	Change visibility of Method "JsonNodeSelector.with(JsonNodeSelector)" to default	JsonNodeSelector.with(JsonNodeSelector)	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeSelector.valueGetter(JsonNodeSelector.java:4)	Change visibility of Field "JsonNodeSelector.valueGetter" to private	JsonNodeSelector.valueGetter	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeSelectors_Field.func_27065_a(JsonNodeSelectors_Field.java:12)	Change visibility of Method "JsonNodeSelectors_Field.func_27065_a(Map<JsonStringNode,JsonNode>)" to private	JsonNodeSelectors_Field.func_27065_a(Map<JsonStringNode,JsonNode>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeSelectors_Field.func_27064_b(JsonNodeSelectors_Field.java:20)	Change visibility of Method "JsonNodeSelectors_Field.func_27064_b(Map<JsonStringNode,JsonNode>)" to private	JsonNodeSelectors_Field.func_27064_b(Map<JsonStringNode,JsonNode>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeSelectors_Field.field_27066_a(JsonNodeSelectors_Field.java:6)	Change visibility of Field "JsonNodeSelectors_Field.field_27066_a" to private	JsonNodeSelectors_Field.field_27066_a	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeSelectors_Array.matchesNode_(JsonNodeSelectors_Array.java:6)	Change visibility of Method "JsonNodeSelectors_Array.matchesNode_(JsonNode)" to private	JsonNodeSelectors_Array.matchesNode_(JsonNode)	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeSelectors_Array.typeSafeApplyTo(JsonNodeSelectors_Array.java:14)	Change visibility of Method "JsonNodeSelectors_Array.typeSafeApplyTo(JsonNode)" to private	JsonNodeSelectors_Array.typeSafeApplyTo(JsonNode)	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeSelectors_String.func_27072_a(JsonNodeSelectors_String.java:4)	Change visibility of Method "JsonNodeSelectors_String.func_27072_a(JsonNode)" to private	JsonNodeSelectors_String.func_27072_a(JsonNode)	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeSelectors_String.func_27073_b(JsonNodeSelectors_String.java:12)	Change visibility of Method "JsonNodeSelectors_String.func_27073_b(JsonNode)" to private	JsonNodeSelectors_String.func_27073_b(JsonNode)	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.AIR_BLOCK_STATE(StarlightEngine.java:14)	Change visibility of Constant "StarlightEngine.AIR_BLOCK_STATE" to private	StarlightEngine.AIR_BLOCK_STATE	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.<init>(StarlightEngine.java:16)	Change visibility of Enum "StarlightEngine.AxisDirection" to private - May cause compile errors!	StarlightEngine.AxisDirection	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.setupEncodeOffset(StarlightEngine.java:100)	Change visibility of Method "StarlightEngine.setupEncodeOffset(int,int,int)" to private	StarlightEngine.setupEncodeOffset(int,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.setupCaches(StarlightEngine.java:121)	Change visibility of Method "StarlightEngine.setupCaches(World,int,int,int,boolean)" to private	StarlightEngine.setupCaches(World,int,int,int,boolean)	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.getChunkInCache(StarlightEngine.java:149)	Change visibility of Method "StarlightEngine.getChunkInCache(int,int)" to private	StarlightEngine.getChunkInCache(int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.setChunkInCache(StarlightEngine.java:153)	Change visibility of Method "StarlightEngine.setChunkInCache(int,int,Chunk)" to private	StarlightEngine.setChunkInCache(int,int,Chunk)	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.getNibbleFromCache(StarlightEngine.java:157)	Change visibility of Method "StarlightEngine.getNibbleFromCache(int,int,int)" to private	StarlightEngine.getNibbleFromCache(int,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.getBlockState(StarlightEngine.java:167)	Change visibility of Method "StarlightEngine.getBlockState(int,int,int)" to private	StarlightEngine.getBlockState(int,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.getLightLevel(StarlightEngine.java:178)	Change visibility of Method "StarlightEngine.getLightLevel(int,int,int)" to private	StarlightEngine.getLightLevel(int,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.destroyCaches(StarlightEngine.java:192)	Change visibility of Method "StarlightEngine.destroyCaches()" to private	StarlightEngine.destroyCaches()	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.setLightLevel(StarlightEngine.java:196)	Change visibility of Method "StarlightEngine.setLightLevel(int,int,int,int)" to private	StarlightEngine.setLightLevel(int,int,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.postLightUpdate(StarlightEngine.java:204)	Change visibility of Method "StarlightEngine.postLightUpdate(int,int,int)" to private	StarlightEngine.postLightUpdate(int,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.resizeIncreaseQueue(StarlightEngine.java:230)	Change visibility of Method "StarlightEngine.resizeIncreaseQueue()" to private	StarlightEngine.resizeIncreaseQueue()	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.resizeDecreaseQueue(StarlightEngine.java:234)	Change visibility of Method "StarlightEngine.resizeDecreaseQueue()" to private	StarlightEngine.resizeDecreaseQueue()	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.appendToIncreaseQueue(StarlightEngine.java:238)	Change visibility of Method "StarlightEngine.appendToIncreaseQueue(long)" to private	StarlightEngine.appendToIncreaseQueue(long)	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.appendToDecreaseQueue(StarlightEngine.java:249)	Change visibility of Method "StarlightEngine.appendToDecreaseQueue(long)" to private	StarlightEngine.appendToDecreaseQueue(long)	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.performLightIncrease(StarlightEngine.java:260)	Change visibility of Method "StarlightEngine.performLightIncrease(World)" to private	StarlightEngine.performLightIncrease(World)	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.performLightDecrease(StarlightEngine.java:328)	Change visibility of Method "StarlightEngine.performLightDecrease(World)" to private	StarlightEngine.performLightDecrease(World)	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.checkBlockEmittanceFixed(StarlightEngine.java:421)	Method "StarlightEngine.checkBlockEmittanceFixed(int,int,int,int)" has 0 references	StarlightEngine.checkBlockEmittanceFixed(int,int,int,int)	org.ucdetector.analyzeMarkerReference	
ca.spottedleaf.starlight.StarlightEngine.tryPropagateSkylight(StarlightEngine.java:562)	Change visibility of Method "StarlightEngine.tryPropagateSkylight(World,int,int,int)" to private	StarlightEngine.tryPropagateSkylight(World,int,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.propagateNeighbourLevels(StarlightEngine.java:662)	Change visibility of Method "StarlightEngine.propagateNeighbourLevels(int,int)" to private	StarlightEngine.propagateNeighbourLevels(int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.DIRECTIONS(StarlightEngine.java:51)	Change visibility of Constant "StarlightEngine.DIRECTIONS" to private	StarlightEngine.DIRECTIONS	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.AXIS_DIRECTIONS(StarlightEngine.java:52)	Change visibility of Constant "StarlightEngine.AXIS_DIRECTIONS" to private	StarlightEngine.AXIS_DIRECTIONS	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.ONLY_HORIZONTAL_DIRECTIONS(StarlightEngine.java:53)	Change visibility of Constant "StarlightEngine.ONLY_HORIZONTAL_DIRECTIONS" to private	StarlightEngine.ONLY_HORIZONTAL_DIRECTIONS	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.OLD_CHECK_DIRECTIONS(StarlightEngine.java:58)	Change visibility of Constant "StarlightEngine.OLD_CHECK_DIRECTIONS" to private	StarlightEngine.OLD_CHECK_DIRECTIONS	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.ALL_DIRECTIONS_BITSET(StarlightEngine.java:59)	Change visibility of Constant "StarlightEngine.ALL_DIRECTIONS_BITSET" to private	StarlightEngine.ALL_DIRECTIONS_BITSET	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.chunkCache(StarlightEngine.java:72)	Change visibility of Field "StarlightEngine.chunkCache" to private	StarlightEngine.chunkCache	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.encodeOffsetX(StarlightEngine.java:74)	Change visibility of Field "StarlightEngine.encodeOffsetX" to private	StarlightEngine.encodeOffsetX	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.encodeOffsetY(StarlightEngine.java:75)	Change visibility of Field "StarlightEngine.encodeOffsetY" to private	StarlightEngine.encodeOffsetY	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.encodeOffsetZ(StarlightEngine.java:76)	Change visibility of Field "StarlightEngine.encodeOffsetZ" to private	StarlightEngine.encodeOffsetZ	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.coordinateOffset(StarlightEngine.java:78)	Change visibility of Field "StarlightEngine.coordinateOffset" to private	StarlightEngine.coordinateOffset	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.chunkOffsetX(StarlightEngine.java:80)	Change visibility of Field "StarlightEngine.chunkOffsetX" to private	StarlightEngine.chunkOffsetX	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.chunkOffsetY(StarlightEngine.java:81)	Change visibility of Field "StarlightEngine.chunkOffsetY" to private	StarlightEngine.chunkOffsetY	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.chunkOffsetZ(StarlightEngine.java:82)	Change visibility of Field "StarlightEngine.chunkOffsetZ" to private	StarlightEngine.chunkOffsetZ	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.chunkIndexOffset(StarlightEngine.java:84)	Change visibility of Field "StarlightEngine.chunkIndexOffset" to private	StarlightEngine.chunkIndexOffset	org.ucdetector.analyzeMarkerVisibilityPrivate	
ca.spottedleaf.starlight.StarlightEngine.chunkSectionIndexOffset(StarlightEngine.java:85)	Change visibility of Field "StarlightEngine.chunkSectionIndexOffset" to private	StarlightEngine.chunkSectionIndexOffset	org.ucdetector.analyzeMarkerVisibilityPrivate	
